,cn2,esco,perco,awc,surlag,alpha,NSE
2,10.6171593849055,-0.0654225481107426,-3.7380531704098567,-4.0720704947995845,-7.3557531323700305,-17.710022643145365,-2.5597372226218407
2,10.6171593849055,-0.0654225481107426,-3.775433702113956,-4.0720704947995845,-7.3557531323700305,-17.710022643145365,-2.5597372798107267
2,10.6171593849055,-0.0654225481107426,-3.775433702113956,-4.11279119974758,-7.429310663693731,-17.887122869576817,-2.559737781287527
2,10.6171593849055,-0.0654225481107426,-3.775433702113956,-4.11279119974758,-7.429310663693731,-17.710022643145365,-2.559737781287527
2,10.6171593849055,-0.0654225481107426,-3.775433702113956,-4.11279119974758,-7.3557531323700305,-17.710022643145365,-2.559737781287527
5,-20.40284424158418,-0.5450971002137021,1.052249872016092,-15.63091743677,-12.492059674856346,8.386709208431421,-2.569087236858215
5,-20.60687268400002,-0.5450971002137021,1.052249872016092,-15.63091743677,-12.492059674856346,8.386709208431421,-2.571017699095948
1,10.51203899495594,-0.0647748001096461,-3.7380531704098567,-4.0720704947995845,-7.3557531323700305,-17.710022643145365,-2.5722250626456264
12,-13.077408277264157,-0.3557495860459261,10.65361048136518,-7.41729235818877,-17.864619039090456,4.892085548006989,-3.3255516889630456
12,-13.077408277264157,-0.3557495860459261,10.760146586178832,-7.41729235818877,-17.864619039090456,4.892085548006989,-3.326700314865729
12,-13.077408277264157,-0.3557495860459261,10.760146586178832,-7.491465281770657,-17.864619039090456,4.892085548006989,-3.3277907239125177
13,-13.077408277264157,-0.3557495860459261,10.760146586178832,-7.491465281770657,-18.04326522948136,4.941006403487059,-3.3277907239125177
12,-13.077408277264157,-0.3557495860459261,10.760146586178832,-7.491465281770657,-18.04326522948136,4.892085548006989,-3.3277907239125177
12,-13.077408277264157,-0.3522273129167586,10.65361048136518,-7.41729235818877,-17.864619039090456,4.892085548006989,-3.344379107991366
12,-12.947928987390252,-0.3522273129167586,10.65361048136518,-7.41729235818877,-17.864619039090456,4.892085548006989,-3.3622955527912843
4,-5.530781676918009,-0.2579822012823528,-12.840183443996334,2.9677818770884405,-2.34235475125164,14.44106825383906,-3.4190451917245426
4,-5.530781676918009,-0.2579822012823528,-12.840183443996334,2.9677818770884405,-2.3191631200511287,14.44106825383906,-3.4190451917245426
4,-5.530781676918009,-0.2579822012823528,-12.840183443996334,2.9677818770884405,-2.34235475125164,14.585478936377452,-3.4190451917245426
3,-5.530781676918009,-0.2579822012823528,-12.840183443996334,2.938397898107367,-2.3191631200511287,14.44106825383906,-3.4190531994046145
3,-5.530781676918009,-0.2579822012823528,-12.713052914847855,2.938397898107367,-2.3191631200511287,14.44106825383906,-3.430610846933688
3,-5.530781676918009,-0.2554279220617355,-12.713052914847855,2.938397898107367,-2.3191631200511287,14.44106825383906,-3.4405994808342246
4,3.4588338771091625,-0.4359868771405064,13.573720239944135,-2.6623025549192523,7.495735594154616,-11.551831234765991,-3.454131867078887
4,3.4588338771091625,-0.4359868771405064,13.709457442343576,-2.6623025549192523,7.495735594154616,-11.551831234765991,-3.454703560399631
4,3.4588338771091625,-0.4359868771405064,13.709457442343576,-2.6889255804684447,7.495735594154616,-11.551831234765991,-3.4548126376406385
5,3.4588338771091625,-0.4359868771405064,13.709457442343576,-2.6889255804684447,7.570692950096162,-11.667349547113652,-3.4548126376406385
5,3.4588338771091625,-0.4359868771405064,13.709457442343576,-2.6889255804684447,7.570692950096162,-11.551831234765991,-3.4548126376406385
4,3.4245879971377846,-0.43167017538664,13.573720239944135,-2.6623025549192523,7.495735594154616,-11.551831234765991,-3.455527241638473
4,3.4588338771091625,-0.43167017538664,13.573720239944135,-2.6623025549192523,7.495735594154616,-11.551831234765991,-3.4561638898494
3,-5.4760214622950585,-0.2554279220617355,-12.713052914847855,2.938397898107367,-2.3191631200511287,14.44106825383906,-3.45946357601258
11,6.162100265806277,0.284307030380775,-15.53542354132228,12.074794890203696,3.399974410574591,-14.121124994916425,-3.4669611026572467
