date,flow_cms,source
2015-05-29,122.82041392141643,RODA NWM v3.0 (cached)
2015-05-30,117.11541404893312,RODA NWM v3.0 (cached)
2015-05-31,121.6054139485738,RODA NWM v3.0 (cached)
2015-06-01,149.49666332515577,RODA NWM v3.0 (cached)
2015-06-02,165.55332963292798,RODA NWM v3.0 (cached)
2015-06-03,167.23332959537706,RODA NWM v3.0 (cached)
2015-06-04,185.30082919153696,RODA NWM v3.0 (cached)
2015-06-05,302.7408265665484,RODA NWM v3.0 (cached)
2015-06-06,347.4379089008241,RODA NWM v3.0 (cached)
2015-06-07,324.12290942195494,RODA NWM v3.0 (cached)
2015-06-08,298.55040999354486,RODA NWM v3.0 (cached)
2015-06-09,274.11374387308024,RODA NWM v3.0 (cached)
2015-06-10,249.15707776423855,RODA NWM v3.0 (cached)
2015-06-11,232.3187448072713,RODA NWM v3.0 (cached)
2015-06-12,224.6554116452268,RODA NWM v3.0 (cached)
2015-06-13,219.11749510234222,RODA NWM v3.0 (cached)
2015-06-14,236.51624471344985,RODA NWM v3.0 (cached)
2015-06-15,257.08582758701715,RODA NWM v3.0 (cached)
2015-06-16,267.5579106862812,RODA NWM v3.0 (cached)
2015-06-17,591.0124867898412,RODA NWM v3.0 (cached)
2015-06-18,1341.8853866731904,RODA NWM v3.0 (cached)
2015-06-19,1386.264135681248,RODA NWM v3.0 (cached)
2015-06-20,1368.0841360876027,RODA NWM v3.0 (cached)
2015-06-21,1272.8353882165782,RODA NWM v3.0 (cached)
2015-06-22,1142.4112244651187,RODA NWM v3.0 (cached)
2015-06-23,939.9170623245494,RODA NWM v3.0 (cached)
2015-06-24,763.5112329341937,RODA NWM v3.0 (cached)
2015-06-25,640.6920690127494,RODA NWM v3.0 (cached)
2015-06-26,539.1799879483879,RODA NWM v3.0 (cached)
2015-06-27,457.4874897743575,RODA NWM v3.0 (cached)
2015-06-28,680.7899847831577,RODA NWM v3.0 (cached)
2015-06-29,819.9278983398495,RODA NWM v3.0 (cached)
2015-06-30,929.0124792349525,RODA NWM v3.0 (cached)
2015-07-01,963.9583117871856,RODA NWM v3.0 (cached)
2015-07-02,898.6070632478999,RODA NWM v3.0 (cached)
2015-07-03,885.7653968682667,RODA NWM v3.0 (cached)
2015-07-04,814.4595651287431,RODA NWM v3.0 (cached)
2015-07-05,721.5358172057507,RODA NWM v3.0 (cached)
2015-07-06,628.0812359612901,RODA NWM v3.0 (cached)
2015-07-07,534.1516547274465,RODA NWM v3.0 (cached)
2015-07-08,457.74582310191664,RODA NWM v3.0 (cached)
2015-07-09,405.65540759956156,RODA NWM v3.0 (cached)
